mean_return,std_return,mean_length,std_length,seed,threshold_percentile,density_model
-1.1230585465898948,0.7405272197048918,1000.0,0.0,42,1,diffusion
-1.1174258256258554,0.6555228043422066,1000.0,0.0,42,5,diffusion
-1.1620689625809175,0.6262148421491508,1000.0,0.0,42,10,diffusion
-1.034107498210952,0.6319992881052187,1000.0,0.0,42,15,diffusion
-1.0600643532185732,0.566925415474238,1000.0,0.0,42,20,diffusion
-2.831415347052496,0.7161089056384203,1000.0,0.0,123,1,diffusion
-2.6428460497631363,0.6870527849924813,1000.0,0.0,123,5,diffusion
-2.688667682140184,0.7194749319187206,1000.0,0.0,123,10,diffusion
-2.8561583288106585,0.7876864044658723,1000.0,0.0,123,15,diffusion
-2.6439779573905184,0.741136934967065,1000.0,0.0,123,20,diffusion
-2.514905335964471,0.7228060332703025,1000.0,0.0,456,1,diffusion
-2.412495524065367,0.7371846371938288,1000.0,0.0,456,5,diffusion
-2.539326969104902,0.805479964603678,1000.0,0.0,456,10,diffusion
-2.565925641427892,0.7871606216817228,1000.0,0.0,456,15,diffusion
-2.566971229054297,0.7852575126244112,1000.0,0.0,456,20,diffusion
10382.409695811892,2715.1742260904352,1000.0,0.0,42,1,diffusion
9602.103914459263,3406.1025473477584,1000.0,0.0,42,5,diffusion
10778.491323165155,2343.7532481479034,1000.0,0.0,42,10,diffusion
