mean_return,std_return,mean_length,std_length,seed
-14.718727800337888,0.1546680748782268,12.0,0.0,42
-6.82457839476567,0.0978454342205299,6.0,0.0,123
69.75407678689292,7.828374284981483,83.68,35.231485918138624,456
-14.654224633919334,0.1860506412148959,13.0,0.0,42
163.13641692165425,90.54749563515436,122.35,76.5194583096352,123
-15.48837024395618,0.2243109154133384,13.01,0.0994987437106619,456
256.1971187417861,2.5534559353990147,146.25,2.6014419078657127,42
256.1967279075008,2.808983847653554,146.27,2.5450147347314123,42
931.8849814547744,560.3654540965855,244.06,105.28625931240978,123
240.13424951635898,48.37694356526562,118.2,14.841158984392022,456
